CustomerID,Annual Income (k$),Spending Score (1-100)
1,67.45071229516849,58.944684008707085
2,57.92603548243223,64.01961315920586
3,69.71532807151038,77.07628107938193
4,82.84544784612038,76.34505130087257
5,56.48769937914996,15.558265801072722
6,56.487945645762295,26.554374002121932
7,83.68819223261087,62.875881680216494
8,71.51152093729362,62.84464877280522
9,52.95788421097572,62.8761921576512
10,68.13840065378947,146.31828726636803
11,53.04873460781307,64.27226276732918
12,53.01405369644615,78.38914100451497
13,63.629434073490515,73.85004408733006
14,31.300796330133032,66.28478128264496
15,34.12623251230451,42.11826888399136
16,51.56568706138541,68.97423051233169
17,44.80753319498364,30.679369636560704
18,64.71370998892911,44.07953483149978
19,46.37963886718184,37.865911304272416
20,38.81544447997062,52.046853484658065
21,81.98473153382331,107.86646416683772
22,56.61335549270196,3.318370185206298
23,61.012923070318855,67.15650475936283
24,38.62877720679815,9.68210322025871
25,51.834259132122256,38.201703355264165
26,61.663838845647994,77.22376492418415
27,42.73509633866546,51.60700047738657
28,65.63547027518509,23.056380551767347
29,50.99041965121793,32.1174072685008
30,55.62459375310085,66.98994372336689
31,50.97440081655905,31.740834207071583
32,87.78417276763406,55.41146473954937
33,59.79754162893099,51.13929599759535
34,44.13433606566149,33.70999130985457
35,72.33817368154783,103.59860223313314
36,41.68734525043467,65.84797555795028
37,63.132953925071334,0.0
38,30.604948141803366,54.661357869235694
39,40.07720926652354,33.4553383807903
40,62.952918538036855,71.3108333699056
41,71.07699869993115,30.186981539182483
42,62.57052421784956,47.13158896332752
43,58.265275764176394,62.62468197451143
44,55.48344456616067,71.64387985425304
45,37.82217014448859,19.992589823605595
46,49.20233687407937,41.63746910397629
47,53.09041843560319,38.12636722097609
48,75.85683339328374,33.6667691856572
49,65.15427434352692,94.13635600702742
50,33.554397669558995,60.12454277402389
51,64.86125954092192,18.47790114162387
52,54.22376579375525,72.9465486763694
53,49.84616999541062,103.05390492531583
54,69.17514433261302,75.81163151377868
55,75.46499283743927,12.015750851149662
56,73.96920178674299,37.89414817834371
57,47.41173715166042,81.67277872966557
58,55.36181436223178,32.308263359530486
59,64.96895147105346,61.09548570365571
60,74.63317690683539,69.36585133573342
61,52.81238643232065,26.826738210547926
62,57.215115350042744,48.511866098454995
63,43.40497538990958,0.0
64,42.05690063878994,24.390308966642753
65,72.18788733591298,43.685796215170996
66,80.34360042856234,18.805420450878763
67,58.91984817629499,90.81028259829088
68,75.05299346838036,14.246465550984183
69,65.42454037571451,38.998887832575406
70,50.323203680923136,53.26851443215229
71,65.4209340826262,86.03183222665288
72,83.07054849698955,14.103446220514016
73,59.46260941335073,79.07909380387399
74,83.4696548372101,50.255826525489674
75,20.703823438653835,25.462283723801228
76,72.32853756562835,61.55258685658177
77,61.30570602357257,54.97649238933675
78,55.51488974301199,34.99457807103013
79,61.37641164803254,51.74505212475047
80,30.186466280986608,40.367160078455996
81,56.70492168243732,52.8379336312812
82,65.35668857267619,66.55326686302617
83,82.16841067112274,89.6504204036338
84,52.22594672589529,19.054612529328775
85,47.87259595660218,103.32583436640667
86,52.47364434623195,1.1978050119374544
87,73.73103176553111,46.20537262411042
88,64.93126664489526,64.70793016211441
89,52.05359694349442,57.02479669337582
90,67.69901149670034,34.432512004485154
91,61.456163240220604,44.79694374106812
92,74.52967485799334,37.674976633529184
93,49.469203591839715,35.26588107639471
94,55.085067801033475,71.24005242552562
95,54.118377703017636,58.92538714912618
96,38.04727577801822,32.677260118483645
97,64.44180415596864,72.48999688583126
98,63.91582908269834,57.68248802191523
99,60.07670184963691,70.32155297097401
100,56.481192999372794,65.74072104809031
101,38.769438869243785,29.275124726948192
102,53.69032015851961,35.99547399507576
103,54.85928225209846,68.68234012808155
104,47.96584096167572,65.25925663583662
105,57.580714325009865,49.4774601508963
106,66.06076285221808,52.93318458271955
107,88.29278851815795,81.94162239471062
108,62.61866719247759,35.21071527910425
109,63.86325586084146,63.677434529250945
110,58.883311263507494,44.94518368915265
111,31.21843177051438,44.55796991931949
112,59.602291868261744,77.46942129967975
113,60.9034531491154,70.63540872470074
114,96.94863168727929,70.33774090001596
115,57.114585528283165,82.63697017885823
116,64.52321013500419,50.52509604081898
117,59.47932345442135,67.0488242823741
118,42.46982943570702,42.2433310851636
119,77.14234221772531,58.104158812211054
120,71.27899549030161,46.74642364080788
121,71.8654792056457,52.424899124817955
122,46.35918817807892,64.87892563592284
123,81.04191466404149,29.544482919163187
124,38.97223405811579,102.3096818921365
125,68.80285640700406,24.84956546250745
126,92.85683438714968,19.645284680306695
127,45.14195512303968,78.9527718375017
128,51.50553405595842,69.7915673490734
129,61.49477047631462,65.60299542630388
130,52.44786518825701,65.708637731607
131,36.74004853400801,49.69383067882713
132,61.02844462209041,27.56864071285421
133,44.06544429410843,51.89511395484316
134,67.10388645952773,33.07095721219721
135,46.20863648649295,74.37799333544378
136,83.24901607526309,46.32356546244653
137,48.251200614956446,29.36257008018721
138,55.16907725691487,41.965353958675166
139,72.20275826054504,60.323286356890605
